,title,postal_code,provider,beds,baths,sq_feet,price,,,,,postal_code,price,,postal_code,mean_price,,,
1,Condo for sale,94102,Sotheby's International Realty,2,2,1155,1495000,,,,,94102,1495000,,94102,1325827.731,,,
4,House for sale,94102,Compass,4,3,4200,2500000,,,,,94102,2500000,,94104,1727777.778,,Most expensive postal_codes,
5,House for sale,94102,Compass,8,6,6330,3800000,,,,,94102,3800000,,94103,925582,,94123,3562811.594
10,Condo for sale,94102,Compass SF,2,2,1219,1199000,,,,,94102,1199000,,94105,1566250,,94118,3590818.919
11,Condo for sale,94102,Keller Williams San Francisco,0,1,525,615000,,,,,94102,615000,,94123,3562811.594,,,
12,Condo for sale,94102,Corcoran Global Living,2,2,1099,939000,,,,,94102,939000,,94115,2552942.633,,Cheapest postal_codes,
13,Condo for sale,94102,CDMG at Fulton 555,1,1,716,745000,,,,,94102,745000,,94111,1493637.931,,94124,846047.1364
15,Condo for sale,94102,Generation Real Estate,1,1,556,495000,,,,,94102,495000,,94133,2567658.537,,94103,925582
17,Condo for sale,94102,Sotheby's International Realty,2,2,1360,1650000,,,,,94102,1650000,,94109,1378311.965,,,
18,House for sale,94102,City Real Estate,3,0,2200,1500000,,,,,94102,1500000,,94114,1898081.967,,,
20,New construction,94102,JS Sullivan Sales and Marketin,2,2,977,998000,,,,,94102,998000,,94158,1702327.655,,,
21,Condo for sale,94102,Mosaik Real Estate,1,1,804,999000,,,,,94102,999000,,94110,1395134.615,,,
22,Condo for sale,94102,City Real Estate,1,2,1121,1499000,,,,,94102,1499000,,94107,1227242.689,,,
23,Condo for sale,94102,Compass,1,1,709,679000,,,,,94102,679000,,94134,1130686.235,,,
24,House for sale,94102,Avenue 8 Inc.,6,6,3816,3290000,,,,,94102,3290000,,94118,3590818.919,,,
26,New construction,94102,JS Sullivan Sales and Marketin,1,1,568,649000,,,,,94102,649000,,94108,2696608.696,,,
27,House for sale,94102,Compass,10,3,4440,2995000,,,,,94102,2995000,,94112,1472620.655,,,
28,Condo for sale,94102,Corcoran Global Living,1,1,0,690000,,,,,94102,690000,,94117,2278559.184,,,
30,Condo for sale,94102,Compass,1,1,398,449000,,,,,94102,449000,,94116,1459875,,,
32,Lot / Land for sale,94102,Coldwell Banker Realty,0,0,0,2880000,,,,,94102,2880000,,94121,2930500,,,
33,Condo for sale,94102,Vanguard Properties,3,2,2655,1495000,,,,,94102,1495000,,94122,1514457.154,,,
34,Condo for sale,94102,Compass,0,1,518,460000,,,,,94102,460000,,94124,846047.1364,,,
