title,postal_code,beds,baths,sq_feet,price
Condo for sale,94102,2.0,2.0,1155.0,1495000.0
House for sale,94102,4.0,3.0,4200.0,2500000.0
House for sale,94102,8.0,6.0,6330.0,3800000.0
Condo for sale,94102,2.0,2.0,1219.0,1199000.0
Condo for sale,94102,2.0,1.0,525.0,615000.0
Condo for sale,94102,2.0,2.0,1099.0,939000.0
Condo for sale,94102,1.0,1.0,716.0,745000.0
Condo for sale,94102,1.0,1.0,556.0,495000.0
Condo for sale,94102,2.0,2.0,1360.0,1650000.0
House for sale,94102,3.0,2.0,2200.0,1500000.0
New construction,94102,2.0,2.0,977.0,998000.0
Condo for sale,94102,1.0,1.0,804.0,999000.0
Condo for sale,94102,1.0,2.0,1121.0,1499000.0
Condo for sale,94102,1.0,1.0,709.0,679000.0
House for sale,94102,6.0,6.0,3816.0,3290000.0
New construction,94102,1.0,1.0,568.0,649000.0
House for sale,94102,12.0,3.0,4440.0,2995000.0
Condo for sale,94102,1.0,1.0,1857.1671,690000.0
Condo for sale,94102,1.0,1.0,398.0,449000.0
Lot / Land for sale,94102,2.0,2.0,1857.1671,2880000.0
Condo for sale,94102,3.0,2.0,2655.0,1495000.0
Condo for sale,94102,2.0,1.0,518.0,460000.0
Condo for sale,94102,1.0,1.0,652.0,549000.0
New construction,94102,2.0,1.0,753.0,849000.0
Condo for sale,94102,1.0,1.0,674.0,382521.0
Condo for sale,94102,1.0,1.0,682.0,670000.0
Condo for sale,94104,3.0,3.0,2485.0,2995000.0
Condo for sale,94104,2.0,2.0,1510.0,1595000.0
Condo for sale,94104,1.0,1.0,565.0,679000.0
Condo for sale,94104,1.0,1.0,806.0,948000.0
Condo for sale,94104,2.0,2.0,1431.0,1599000.0
Condo for sale,94104,1.0,2.0,1290.0,995000.0
Condo for sale,94104,1.0,1.0,658.0,749000.0
Condo for sale,94103,2.0,2.0,1565.0,1195000.0
Condo for sale,94103,1.0,1.0,541.0,595000.0
New construction,94103,2.0,2.0,955.0,700000.0
New construction,94103,2.0,2.0,844.0,949000.0
Condo for sale,94103,2.0,1.0,1547.0,1349000.0
Condo for sale,94103,1.0,1.0,815.0,895000.0
Condo for sale,94103,1.0,1.0,795.0,685000.0
Condo for sale,94103,2.0,3.0,1470.0,998000.0
Under Contract,94103,2.0,2.0,1319.0,1175000.0
Condo for sale,94103,2.0,1.0,298.0,378000.0
Condo for sale,94103,1.0,1.0,1857.1671,699000.0
Condo for sale,94103,2.0,2.0,2018.0,1695000.0
House for sale,94103,2.0,2.0,1250.0,1150000.0
Condo for sale,94103,1.0,1.0,888.0,949000.0
Under Contract,94103,4.0,1.0,1894.0,1595000.0
Condo for sale,94103,2.0,1.0,925.0,938000.0
Condo for sale,94103,2.0,2.0,1857.1671,949000.0
Condo for sale,94103,1.0,1.0,626.0,710000.0
Condo for sale,94103,1.0,1.0,664.0,749000.0
House for sale,94103,3.0,2.0,1857.1671,1485000.0
Condo for sale,94103,2.0,1.0,341.0,420000.0
Condo for sale,94103,1.0,2.0,875.0,895000.0
New construction,94103,2.0,1.0,494.0,495000.0
House for sale,94103,12.0,2.0,4875.0,2400000.0
Condo for sale,94103,2.0,2.0,932.0,431846.0
Condo for sale,94103,1.0,1.0,739.0,799000.0
Condo for sale,94103,1.0,1.0,589.0,699000.0
Condo for sale,94103,1.0,1.0,664.0,699000.0
Condo for sale,94103,1.0,2.0,1173.0,875000.0
Condo for sale,94103,1.0,1.0,745.0,799000.0
Condo for sale,94103,2.0,2.0,1201.0,1275000.0
Under Contract,94103,2.0,2.0,1857.1671,999000.0
Condo for sale,94105,2.0,2.0,1259.0,1649000.0
Condo for sale,94105,2.0,2.0,1491.0,2599000.0
Condo for sale,94105,1.0,1.0,694.0,749000.0
Condo for sale,94105,2.0,2.0,1268.0,2200000.0
Condo for sale,94105,2.0,2.0,995.0,1150000.0
Condo for sale,94105,1.0,2.0,1354.0,1588000.0
Condo for sale,94105,1.0,1.0,798.0,1050000.0
Condo for sale,94105,2.0,2.0,1215.0,1299000.0
Condo for sale,94105,1.0,1.0,851.0,1095000.0
Condo for sale,94105,1.0,1.0,710.0,799000.0
New construction,94105,1.0,1.0,710.0,825000.0
Condo for sale,94105,3.0,3.0,2130.0,3295000.0
Condo for sale,94105,2.0,2.0,1857.1671,1159000.0
Condo for sale,94105,2.0,2.0,1177.0,1475000.0
Condo for sale,94105,2.0,3.0,1845.0,1925000.0
New construction,94105,3.0,4.0,5223.0,5995000.0
Condo for sale,94105,2.0,1.0,498.0,610000.0
Condo for sale,94105,2.0,2.0,1401.0,1695000.0
New construction,94105,1.0,2.0,916.0,1180000.0
Condo for sale,94105,1.0,1.0,909.0,1100000.0
New construction,94105,2.0,2.0,1422.0,1695000.0
Condo for sale,94105,2.0,1.0,493.0,599000.0
Condo for sale,94105,1.0,1.0,669.0,798000.0
Condo for sale,94105,1.0,1.0,493.0,639000.0
Condo for sale,94105,2.0,1.0,486.0,615000.0
Condo for sale,94105,2.0,2.0,1019.0,1295000.0
Condo for sale,94105,1.0,1.0,733.0,850000.0
Condo for sale,94105,1.0,2.0,840.0,1195000.0
Condo for sale,94105,1.0,1.0,873.0,915000.0
Under Contract,94105,2.0,2.0,1434.0,1729000.0
New construction,94105,2.0,2.0,1637.0,3800000.0
Condo for sale,94105,1.0,1.0,789.0,925000.0
Under Contract,94123,4.0,4.0,3774.0,3750000.0
Condo for sale,94123,3.0,2.0,1857.1671,2250000.0
House for sale,94123,5.0,5.0,4175.0,7250000.0
House for sale,94123,12.0,2.0,9450.0,7600000.0
Under Contract,94123,2.0,2.0,1128.0,1250000.0
House for sale,94123,3.0,3.0,2442.0,2295000.0
Under Contract,94123,1.0,1.0,670.0,849000.0
Condo for sale,94123,3.0,3.0,2100.0,2497000.0
New construction,94123,3.0,3.0,2073.0,3125000.0
House for sale,94123,1.0,1.0,806.0,825000.0
Condo for sale,94123,2.0,1.0,1857.1671,799000.0
House for sale,94123,3.0,3.0,2260.0,2598000.0
New construction,94123,6.0,6.0,7195.0,14500000.0
