title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,San Francisco,CA,94102,"$785,000 ","1 bds, 1.0 ba ,605 sqft",,https://www.zillow.com/homedetails/8-Buchanan-St-UNIT-502-San-Francisco-CA-94102/124398064_zpid/
Condo for sale,,San Francisco,CA,94102,"$1,495,000 ","2 bds, 2.0 ba ,1155 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/301-Gough-St-APT-1-San-Francisco-CA-94102/2078675308_zpid/
New construction,,San Francisco,CA,94102,"$739,000+","1 bds, 1.0 ba ,568 sqft",,https://www.zillow.com/community/elevant/2076661082_zpid/
House for sale,,San Francisco,CA,94102,"$20,000,000 ","None bds, None ba ,26152 sqft",,https://www.zillow.com/homedetails/435-Powell-St-441-San-Francisco-CA-94102/2073708905_zpid/
House for sale,,San Francisco,CA,94102,"$2,500,000 ","4 bds, 3.0 ba ,4200 sqft",Compass,https://www.zillow.com/homedetails/176-Page-St-San-Francisco-CA-94102/2073740731_zpid/
House for sale,,San Francisco,CA,94102,"$3,800,000 ","8 bds, 6.0 ba ,6330 sqft",Compass,https://www.zillow.com/homedetails/176-Page-St-178-San-Francisco-CA-94102/2073926620_zpid/
New construction,,San Francisco,CA,94102,"$1,199,000+","2 bds, 2.0 ba ,1092 sqft",,https://www.zillow.com/community/fulton-555/2076668386_zpid/
New construction,,San Francisco,CA,94102,"$1,099,000+","2 bds, 2.0 ba ,836 sqft",,https://www.zillow.com/community/fulton-555/2078125034_zpid/
New construction,,San Francisco,CA,94102,"$1,047,000+","2 bds, 1.0 ba ,798 sqft",,https://www.zillow.com/community/fulton-555/2077321395_zpid/
New construction,,San Francisco,CA,94102,"$599,000+","None bds, 1.0 ba ,536 sqft",,https://www.zillow.com/community/fulton-555/2076789019_zpid/
Condo for sale,,San Francisco,CA,94102,"$1,199,000 ","2 bds, 2.0 ba ,1219 sqft",Compass SF,https://www.zillow.com/homedetails/368-Elm-St-APT-107-San-Francisco-CA-94102/79844576_zpid/
Condo for sale,,San Francisco,CA,94102,"$615,000 ","0 bds, 1.0 ba ,525 sqft",Keller Williams San Francisco,https://www.zillow.com/homedetails/77-Van-Ness-Ave-702-San-Francisco-CA-94102/2137458983_zpid/
Condo for sale,,San Francisco,CA,94102,"$939,000 ","2 bds, 2.0 ba ,1099 sqft",Corcoran Global Living,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-5-San-Francisco-CA-94102/15077612_zpid/
Condo for sale,,San Francisco,CA,94102,"$745,000 ","1 bds, 1.0 ba ,716 sqft",CDMG at Fulton 555,https://www.zillow.com/homedetails/555-Fulton-St-UNIT-435-San-Francisco-CA-94102/2078125037_zpid/
New construction,,San Francisco,CA,94102,"$719,000+","1 bds, 1.0 ba ,708 sqft",,https://www.zillow.com/community/fulton-555/2077827427_zpid/
Condo for sale,,San Francisco,CA,94102,"$495,000 ","1 bds, 1.0 ba ,556 sqft",Generation Real Estate,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-531-San-Francisco-CA-94102/15077687_zpid/
New construction,,San Francisco,CA,94102,"$719,000+","1 bds, 1.0 ba ,712 sqft",,https://www.zillow.com/community/fulton-555/2077827425_zpid/
Condo for sale,,San Francisco,CA,94102,"$1,650,000 ","2 bds, 2.0 ba ,1360 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/233-Franklin-St-APT-406-San-Francisco-CA-94102/111710783_zpid/
House for sale,,San Francisco,CA,94102,"$1,500,000 ","3 bds, None ba ,2200 sqft",City Real Estate,https://www.zillow.com/homedetails/424-Linden-St-San-Francisco-CA-94102/2075183663_zpid/
New construction,,San Francisco,CA,94102,"$999,000+","2 bds, 2.0 ba ,719 sqft",,https://www.zillow.com/community/fulton-555/2077321394_zpid/
New construction,,San Francisco,CA,94102,"$998,000 ","2 bds, 2.0 ba ,977 sqft",JS Sullivan Sales and Marketin,https://www.zillow.com/homedetails/555-Golden-Gate-Ave-306-San-Francisco-CA-94102/2075206855_zpid/
Condo for sale,,San Francisco,CA,94102,"$999,000 ","1 bds, 1.0 ba ,804 sqft",Mosaik Real Estate,https://www.zillow.com/homedetails/580-Hayes-St-UNIT-404-San-Francisco-CA-94102/249665226_zpid/
Condo for sale,,San Francisco,CA,94102,"$1,499,000 ","1 bds, 2.0 ba ,1121 sqft",City Real Estate,https://www.zillow.com/homedetails/450-Hayes-St-TOWNHOUSE-San-Francisco-CA-94102/2074096329_zpid/
Condo for sale,,San Francisco,CA,94102,"$679,000 ","1 bds, 1.0 ba ,709 sqft",Compass,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-543-San-Francisco-CA-94102/15077691_zpid/
House for sale,,San Francisco,CA,94102,"$3,290,000 ","6 bds, 6.0 ba ,3816 sqft",Avenue 8 Inc.,https://www.zillow.com/homedetails/371-Haight-St-375-San-Francisco-CA-94102/2076570597_zpid/
New construction,,San Francisco,CA,94102,"$1,199,000+","2 bds, 2.0 ba ,920 sqft",,https://www.zillow.com/community/fulton-555/2078125035_zpid/
